"work_year","experience_level","employment_type","job_title","salary_in_EUR","salary_in_usd","employee_residence","remote_ratio","company_location","company_size"
2023,"SE","FT","Principal Data Scientist",80000,85847,"ES",100,"ES","L"
2023,"MI","CT","ML Engineer",27600,30000,"US",100,"US","S"
2023,"MI","CT","ML Engineer",23460,25500,"US",100,"US","S"
2023,"SE","FT","Data Scientist",161000,175000,"CA",100,"CA","M"
2023,"SE","FT","Data Scientist",110400,120000,"CA",100,"CA","M"
2023,"SE","FT","Applied Scientist",204424,222200,"US",0,"US","L"
2023,"SE","FT","Applied Scientist",125120,136000,"US",0,"US","L"
2023,"SE","FT","Data Scientist",201480,219000,"CA",0,"CA","M"
2023,"SE","FT","Data Scientist",129720,141000,"CA",0,"CA","M"
2023,"SE","FT","Data Scientist",135332,147100,"US",0,"US","M"
2023,"SE","FT","Data Scientist",83444,90700,"US",0,"US","M"
2023,"SE","FT","Data Analyst",119600,130000,"US",100,"US","M"
2023,"SE","FT","Data Analyst",92000,100000,"US",100,"US","M"
2023,"EN","FT","Applied Scientist",196567.2,213660,"US",0,"US","L"
2023,"EN","FT","Applied Scientist",120299.2,130760,"US",0,"US","L"
2023,"SE","FT","Data Modeler",135332,147100,"US",0,"US","M"
2023,"SE","FT","Data Modeler",83444,90700,"US",0,"US","M"
2023,"SE","FT","Data Scientist",156400,170000,"US",0,"US","M"
2023,"SE","FT","Data Scientist",138000,150000,"US",0,"US","M"
2023,"MI","FT","Data Analyst",138000,150000,"US",100,"US","M"
2023,"MI","FT","Data Analyst",101200,110000,"US",100,"US","M"
2023,"SE","FT","Research Engineer",253000,275000,"DE",0,"DE","M"
2023,"SE","FT","Research Engineer",160080,174000,"DE",0,"DE","M"
2023,"SE","FT","Analytics Engineer",211600,230000,"GB",100,"GB","M"
2023,"SE","FT","Analytics Engineer",131744,143200,"GB",100,"GB","M"
2023,"SE","FT","Business Intelligence Engineer",207000,225000,"US",0,"US","M"
2023,"SE","FT","Business Intelligence Engineer",143888,156400,"US",0,"US","M"
2023,"SE","FT","Machine Learning Engineer",184000,200000,"US",0,"US","M"
2023,"SE","FT","Machine Learning Engineer",119600,130000,"US",0,"US","M"
2023,"SE","FT","Data Strategist",82800,90000,"CA",0,"CA","M"
2023,"SE","FT","Data Strategist",66240,72000,"CA",0,"CA","M"
2023,"SE","FT","Data Engineer",232944,253200,"US",0,"US","M"
2023,"SE","FT","Data Engineer",83444,90700,"US",0,"US","M"
2023,"SE","FT","Computer Vision Engineer",315385.2,342810,"US",0,"US","M"
2023,"SE","FT","Computer Vision Engineer",169822.8,184590,"US",0,"US","M"
2023,"MI","FT","Data Engineer",149500,162500,"US",0,"US","M"
2023,"MI","FT","Data Engineer",119600,130000,"US",0,"US","M"
2023,"MI","FT","Data Analyst",96949.6,105380,"US",0,"US","M"
2023,"MI","FT","Data Analyst",59340,64500,"US",0,"US","M"
2023,"EN","FT","Data Quality Analyst",92000,100000,"NG",100,"NG","L"
2023,"EN","FT","Compliance Data Analyst",27600,30000,"NG",100,"NG","L"
2022,"MI","FT","Machine Learning Engineer",1650000,20984,"IN",50,"IN","L"
2023,"EN","FT","Applied Scientist",188250.4,204620,"US",0,"US","L"
2023,"EN","FT","Applied Scientist",101825.6,110680,"US",0,"US","L"
2023,"SE","FT","Data Engineer",249046.76,270703,"US",0,"US","M"
2023,"SE","FT","Data Engineer",203765.28,221484,"US",0,"US","M"
2023,"SE","FT","Data Scientist",195730,212750,"US",100,"US","M"
2023,"SE","FT","Data Scientist",170200,185000,"US",100,"US","M"
2023,"SE","FT","Data Scientist",241040,262000,"US",100,"US","M"
2023,"SE","FT","Data Scientist",225400,245000,"US",100,"US","M"
2023,"SE","FT","Data Scientist",253276,275300,"US",100,"US","M"
2023,"SE","FT","Data Scientist",168820,183500,"US",100,"US","M"
2023,"SE","FT","Data Scientist",201020,218500,"US",100,"US","M"
2023,"SE","FT","Data Scientist",183170.16,199098,"US",100,"US","M"
2023,"SE","FT","Data Engineer",187036,203300,"US",100,"US","M"
2023,"SE","FT","Data Engineer",113712,123600,"US",100,"US","M"
2023,"SE","FT","Research Engineer",173981.2,189110,"US",0,"US","M"
2023,"SE","FT","Research Engineer",127880,139000,"US",0,"US","M"
2023,"EX","FT","Data Scientist",238050,258750,"US",0,"US","M"
2023,"EX","FT","Data Scientist",170200,185000,"US",0,"US","M"
2023,"SE","FT","Data Engineer",212980,231500,"US",100,"US","M"
2023,"SE","FT","Data Engineer",152720,166000,"US",100,"US","M"
2023,"SE","FT","Data Scientist",158700,172500,"US",100,"US","M"
2023,"SE","FT","Data Scientist",101660,110500,"US",100,"US","M"
2023,"SE","FT","Data Engineer",218960,238000,"US",0,"US","M"
2023,"SE","FT","Data Engineer",161920,176000,"US",0,"US","M"
2023,"SE","FT","Data Engineer",218040,237000,"US",100,"US","M"
2023,"SE","FT","Data Engineer",185334,201450,"US",100,"US","M"
2023,"SE","FT","Applied Scientist",284648,309400,"US",0,"US","L"
2023,"SE","FT","Applied Scientist",146372,159100,"US",0,"US","L"
2023,"SE","FT","Data Engineer",105800,115000,"US",0,"US","M"
2023,"SE","FT","Data Engineer",74980,81500,"US",0,"US","M"
2023,"SE","FT","Data Scientist",218040,237000,"US",100,"US","M"
2023,"SE","FT","Data Scientist",185334,201450,"US",100,"US","M"
2023,"SE","FT","Computer Vision Engineer",257600,280000,"US",0,"US","M"
2023,"SE","FT","Computer Vision Engineer",193200,210000,"US",0,"US","M"
2023,"SE","FT","Data Architect",257692,280100,"US",100,"US","M"
2023,"SE","FT","Data Architect",154652,168100,"US",100,"US","M"
2023,"SE","FT","Data Engineer",178020,193500,"US",100,"US","M"
2023,"SE","FT","Data Engineer",127880,139000,"US",100,"US","M"
2023,"MI","FT","Data Scientist",510000,65062,"HK",0,"HK","L"
2023,"SE","FT","Machine Learning Engineer",138000,150000,"PT",100,"US","M"
2023,"MI","FT","Applied Machine Learning Engineer",65000,69751,"IN",100,"DE","S"
2022,"EN","FT","AI Developer",276000,300000,"IN",50,"IN","L"
2023,"MI","FT","Machine Learning Engineer",90000,96578,"NL",100,"NL","L"
2023,"SE","FT","Business Intelligence Engineer",171028,185900,"US",0,"US","M"
2023,"SE","FT","Business Intelligence Engineer",118956,129300,"US",0,"US","M"
2023,"SE","FT","Data Engineer",207000,225000,"US",100,"US","M"
2023,"SE","FT","Data Engineer",161000,175000,"US",100,"US","M"
